algorithm,basis_energy_threshold,bc_g_0p5_sc,bc_g_0p9_sc,bc_h_0p5_sc,bc_h_0p9_sc,bc_threshold,block_width_mhz,block_width_sc,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,covariance,delay_spread_ns,dmrs_overhead_alg1,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,gain_vs_alg1_db,n_blocks,n_prbs,n_sc,n_unknown_taps,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_dmrs_re_alg1,total_pilot_re_relative,trials
Alg1 Direct RMMSE WB 576sc,,86,37,,,,,,130.20833333333334,16,nan,nan,0.012896195769327016,0.009839119306271257,,,CDD-shifted PDP,1.0,0.03333333333333333,6,2,,alg1_direct_rmmse,0.0,,48,576,,,96,96,,48.0,576,0.0,,192,,50
Alg2 Basis LMMSE E90,0.9,86,37,,,,,,130.20833333333334,16,0.01311867631727889,0.010272907864966305,0.012896098617978167,0.0098389017787324,,1.105681859518191,,1.0,0.03333333333333333,6,2,1.9949748064147332,alg2_basis_reduced_support,3.2716976692018335e-05,,48,576,2,,96,96,,,,0.0,1,192,,50
Alg2 Basis LMMSE E95,0.95,86,37,,,,,,130.20833333333334,16,0.01311867631727889,0.010272907864966305,0.012896098617978167,0.0098389017787324,,1.105681859518191,,1.0,0.03333333333333333,6,2,1.9949748064147332,alg2_basis_reduced_support,3.2716976692018335e-05,,48,576,2,,96,96,,,,0.0,1,192,,50
Alg2 Basis LMMSE E99,0.99,86,37,,,,,,130.20833333333334,16,0.01311867631727889,0.010272907864966305,0.012896098617978167,0.0098389017787324,,1.105681859518191,,1.0,0.03333333333333333,6,2,1.9949748064147332,alg2_basis_reduced_support,3.2716976692018335e-05,,48,576,2,,96,96,,,,0.0,1,192,,50
Alg2 CoherenceBlock Bc0.9,,86,37,,,0.9,17.28,576,130.20833333333334,16,0.013118628744831252,0.010272899460537046,0.01289605121824407,0.009838980670902314,1.105681859518191,1.105681859518191,,1.0,0.03333333333333333,6,2,,alg2_coherence_block,4.867954134231693e-05,1,48,576,,,,96,,,,0.0,,192,,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.012661397712201488,0.010490306448804596,0.012589565220179367,0.010422237556630555,,,,1.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.10450885237210311,,48,576,,equal_total_overhead,,96,48,,,0.0,,192,1.0,50
Alg1 Direct RMMSE WB 576sc,,86,37,,,,,,130.20833333333334,16,nan,nan,0.0018191570353928337,0.0016048871851195067,,,CDD-shifted PDP,1.0,0.03333333333333333,6,2,,alg1_direct_rmmse,0.0,,48,576,,,96,96,,48.0,576,8.0,,192,,50
Alg2 Basis LMMSE E90,0.9,86,37,,,,,,130.20833333333334,16,0.0018197983480652093,0.0016526053626812396,0.0018192354846187264,0.0016048495832085821,,1.105681859518191,,1.0,0.03333333333333333,6,2,1.9949748064147332,alg2_basis_reduced_support,-0.0001872808705091375,,48,576,2,,96,96,,,,8.0,1,192,,50
Alg2 Basis LMMSE E95,0.95,86,37,,,,,,130.20833333333334,16,0.0018197983480652093,0.0016526053626812396,0.0018192354846187264,0.0016048495832085821,,1.105681859518191,,1.0,0.03333333333333333,6,2,1.9949748064147332,alg2_basis_reduced_support,-0.0001872808705091375,,48,576,2,,96,96,,,,8.0,1,192,,50
Alg2 Basis LMMSE E99,0.99,86,37,,,,,,130.20833333333334,16,0.0018197983480652093,0.0016526053626812396,0.0018192354846187264,0.0016048495832085821,,1.105681859518191,,1.0,0.03333333333333333,6,2,1.9949748064147332,alg2_basis_reduced_support,-0.0001872808705091375,,48,576,2,,96,96,,,,8.0,1,192,,50
Alg2 CoherenceBlock Bc0.9,,86,37,,,0.9,17.28,576,130.20833333333334,16,0.0018197982736977375,0.0016526081726796057,0.001819235416138589,0.0016048420619647875,1.105681859518191,1.105681859518191,,1.0,0.03333333333333333,6,2,,alg2_coherence_block,-0.00018711739224241427,1,48,576,,,,96,,,,8.0,,192,,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.0019867547002230777,0.0017400516220206276,0.001991406461052529,0.0017228689708936804,,,,1.0,0.03333333333333333,6,2,,alg3_port_dmrs,-0.39289721492756413,,48,576,,equal_total_overhead,,96,48,,,8.0,,192,1.0,50
