algorithm,basis_energy_threshold,bc_g_0p5_sc,bc_g_0p9_sc,bc_h_0p5_sc,bc_h_0p9_sc,bc_threshold,block_width_mhz,block_width_sc,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,delay_spread_ns,dmrs_overhead_alg1,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,gain_vs_alg1_db,n_blocks,n_prbs,n_sc,n_unknown_taps,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,snr_db,support_len,total_dmrs_re_alg1,total_pilot_re_relative,trials
Alg3 Port-DMRS RMMSE equal-total,,6,3,311,87,,,,2083.3333333333335,256,0.01624872074283098,0.016029101182238846,0.01624736646371688,0.015982459637751897,,,30.0,0.016666666666666666,12,2,,alg3_port_dmrs,0.09042845225045414,,48,576,,equal_total_overhead,,48,24,8.0,,96,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,311,87,,,,1041.6666666666667,128,0.08225663172415981,0.07564262208078448,0.08235702483148215,0.07566813218388098,,,30.0,0.05,4,2,,alg3_port_dmrs,0.08873767975038305,,48,576,,equal_total_overhead,,144,72,-6.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,22,10,311,87,,,,520.8333333333334,64,0.05273512753230908,0.048392063483297616,0.05280544234084923,0.04870050278775938,,,30.0,0.1,2,2,,alg3_port_dmrs,0.08817041849112915,,48,576,,equal_total_overhead,,288,144,-6.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,,,,,1041.6666666666667,128,0.05864149022174292,0.04788631116644531,0.05872040871782749,0.048130276043463247,,,5.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.08757879612531315,,48,576,,equal_total_overhead,,96,48,-6.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,,,,,,2083.3333333333335,256,0.08163583144958386,0.0769732507103833,0.08163566527842209,0.0769678140083476,,,1.0,0.016666666666666666,12,2,,alg3_port_dmrs,0.0870731789639157,,48,576,,equal_total_overhead,,48,24,-6.0,,96,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,22,10,,,,,,520.8333333333334,64,0.0426585459442005,0.03608839122710235,0.04266008778909439,0.03609338797687635,,,1.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.08660600411985289,,48,576,,equal_total_overhead,,96,48,-6.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,43,19,,,,,,260.4166666666667,32,0.0012307520471279952,0.0010499597686440905,0.0012348802249062193,0.0010369038330948956,,,1.0,0.05,4,2,,alg3_port_dmrs,0.0782561283092067,,48,576,,equal_total_overhead,,144,72,8.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,22,10,,,,,,520.8333333333334,64,0.01897408246897755,0.01848861432481314,0.018956520482345435,0.018291639822004716,,,5.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.07426315034874417,,48,576,,equal_total_overhead,,96,48,0.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,93,26,,,,2083.3333333333335,256,0.08617467971961211,0.0867455427777247,0.08614500044215465,0.08614909897154377,,,100.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.07331072990961408,,48,576,,equal_total_overhead,,96,48,0.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.05542529233746532,0.048644426444018424,0.056182183573855876,0.04905461512983403,,,5.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.07167495053644951,,48,576,,equal_total_overhead,,96,48,-6.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,93,26,,,,1041.6666666666667,128,0.2205144296630589,0.2143518818858706,0.2204827574097804,0.21398798707619715,,,100.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.07137044354109584,,48,576,,equal_total_overhead,,96,48,-6.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.04226198537689562,0.037645702504858006,0.04201612643630233,0.03635244265317777,,,5.0,0.05,4,2,,alg3_port_dmrs,0.06402489795940229,,48,576,,equal_total_overhead,,144,72,-6.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,,,,,1041.6666666666667,128,0.048161184563870536,0.0415033823796964,0.048164702426325194,0.04151052641615244,,,1.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.06392562861760877,,48,576,,equal_total_overhead,,96,48,-6.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,43,19,,,,,,260.4166666666667,32,0.09250437941712289,0.07473089464492691,0.09236175053809145,0.07451752824183266,,,1.0,0.016666666666666666,12,2,,alg3_port_dmrs,0.06363793059292523,,48,576,,equal_total_overhead,,48,24,-6.0,,96,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,93,26,,,,1041.6666666666667,128,0.01972294551886182,0.01960150110865453,0.019737270662741665,0.01954580609040937,,,100.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.06285884582166829,,48,576,,equal_total_overhead,,96,48,8.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,22,10,,267,,,,520.8333333333334,64,0.032004375846932186,0.027695957725240528,0.032026587231225305,0.027899114612627292,,,10.0,0.1,2,2,,alg3_port_dmrs,0.061394470574480525,,48,576,,equal_total_overhead,,288,144,-6.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,,,,,,2083.3333333333335,256,0.0006783635057518432,0.000621024834844651,0.0006784291128610926,0.0006220749090947862,,,1.0,0.1,2,2,,alg3_port_dmrs,0.0608372429037255,,48,576,,equal_total_overhead,,288,144,8.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.03497451471809699,0.028738282629408397,0.035583191240735446,0.03039634862699363,,,5.0,0.016666666666666666,12,2,,alg3_port_dmrs,0.060754092682729736,,48,576,,equal_total_overhead,,48,24,0.0,,96,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,93,26,,,,1041.6666666666667,128,0.08825289566128727,0.08668844953776984,0.08829029004199448,0.08637725739728247,,,100.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.059324797802865856,,48,576,,equal_total_overhead,,96,48,0.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,93,26,,,,2083.3333333333335,256,0.018494242331850094,0.018294180987060593,0.01850022013865028,0.018277350733344272,,,100.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.05877678536444782,,48,576,,equal_total_overhead,,96,48,8.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,,,,,1041.6666666666667,128,0.014867067075689197,0.012337487253829127,0.014868435630017673,0.012346190165262765,,,1.0,0.1,2,2,,alg3_port_dmrs,0.050368790713397144,,48,576,,equal_total_overhead,,288,144,-6.0,,576,1.0,50
