base_seed,bler,cb_bler,cb_errors,cdd_delay_vector,ce_method,ce_nmse_branch,ce_nmse_eff,channel_model,coded_bits,common_random_numbers,cond_number,data_re,delay_spread_ns,dmrs_overhead,dmrs_spacing_sc,dmrs_symbols,effective_rank,goodput_bits_per_slot,goodput_se_per_re,mcs_index,mcs_table,n_cbs,n_dmrs_re,n_rx,n_trials,n_tx,noise_var,pdsch_rb,pdsch_symbols,prg_codebook,prg_size_rb,scenario_id,snr_db,speed_kmh,tb_errors,tbs_bits,tx_scheme,variant_id
3047997818,0.0,0.0,0,"0,8",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30,8.0,0.0,0,12024,CDD,ideal_csi_d8
449947905,0.0,0.0,0,"0,8",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds30,12.0,0.0,0,12024,CDD,ideal_csi_d8
3203262578,1.0,0.9875,79,"0,16",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,150.3,0.02699353448275862,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30,0.0,0.0,20,12024,CDD,ideal_csi_d16
2475620830,0.05,0.05,4,"0,16",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,11422.8,2.0515086206896553,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30,4.0,0.0,1,12024,CDD,ideal_csi_d16
3047997818,0.0,0.0,0,"0,16",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30,8.0,0.0,0,12024,CDD,ideal_csi_d16
449947905,0.0,0.0,0,"0,16",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds30,12.0,0.0,0,12024,CDD,ideal_csi_d16
3203262578,1.0,1.0,80,"0,32",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30,0.0,0.0,20,12024,CDD,ideal_csi_d32
2475620830,0.05,0.05,4,"0,32",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,11422.8,2.0515086206896553,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30,4.0,0.0,1,12024,CDD,ideal_csi_d32
3047997818,0.0,0.0,0,"0,32",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30,8.0,0.0,0,12024,CDD,ideal_csi_d32
449947905,0.0,0.0,0,"0,32",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds30,12.0,0.0,0,12024,CDD,ideal_csi_d32
