algorithm,case_id,metadata,snr_db
Alg1 Direct RMMSE WB 576sc,ds100_d32_sf6,"{""covariance"": ""CDD-shifted PDP"", ""pilot_count"": 96, ""processing_bandwidth_rb"": 48.0, ""processing_bandwidth_sc"": 576}",-6.0
Alg2 Basis LMMSE E90,ds100_d32_sf6,"{""basis_energy_threshold"": 0.9, ""cond_number"": 4290211562820.0415, ""effective_rank"": 9.28308357266004, ""n_unknown_taps"": 58, ""pilot_count"": 96, ""support_len"": 29}",-6.0
Alg2 Basis LMMSE E95,ds100_d32_sf6,"{""basis_energy_threshold"": 0.95, ""cond_number"": 4390804650977.662, ""effective_rank"": 10.004025020014105, ""n_unknown_taps"": 74, ""pilot_count"": 96, ""support_len"": 37}",-6.0
Alg2 Basis LMMSE E99,ds100_d32_sf6,"{""basis_energy_threshold"": 0.99, ""cond_number"": 4430128729269.439, ""effective_rank"": 11.184010801402852, ""n_unknown_taps"": 114, ""pilot_count"": 96, ""support_len"": 57}",-6.0
Alg2 CoherenceBlock Bc0.9,ds100_d32_sf6,"{""bc_threshold"": 0.9, ""block_width_mhz"": 0.78, ""block_width_sc"": 26, ""cond_mean"": 5.571384758115573, ""cond_number"": 6.0366542891815, ""n_blocks"": 23}",-6.0
Alg3 Port-DMRS RMMSE equal-total,ds100_d32_sf6,"{""overhead_mode"": ""equal_total_overhead"", ""pilot_count_per_port"": 48, ""total_pilot_re_relative"": 1.0}",-6.0
Alg3 Port-DMRS RMMSE equal-per-port,ds100_d32_sf6,"{""overhead_mode"": ""equal_per_port_density"", ""pilot_count_per_port"": 96, ""total_pilot_re_relative"": 2.0}",-6.0
Alg1 Direct RMMSE WB 576sc,ds100_d32_sf6,"{""covariance"": ""CDD-shifted PDP"", ""pilot_count"": 96, ""processing_bandwidth_rb"": 48.0, ""processing_bandwidth_sc"": 576}",-4.0
Alg2 Basis LMMSE E90,ds100_d32_sf6,"{""basis_energy_threshold"": 0.9, ""cond_number"": 4290211562820.0415, ""effective_rank"": 9.28308357266004, ""n_unknown_taps"": 58, ""pilot_count"": 96, ""support_len"": 29}",-4.0
Alg2 Basis LMMSE E95,ds100_d32_sf6,"{""basis_energy_threshold"": 0.95, ""cond_number"": 4390804650977.662, ""effective_rank"": 10.004025020014105, ""n_unknown_taps"": 74, ""pilot_count"": 96, ""support_len"": 37}",-4.0
