algorithm,basis_energy_threshold,bc05_sc_original,bc09_sc_original,bc_threshold,block_width_mhz,block_width_sc,case_id,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,covariance,delay_spread_ns,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,n_blocks,n_prbs,n_sc,n_unknown_taps,noise_var_ls,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_pilot_re_relative,trials
Alg3 Port-DMRS RMMSE equal-total,,311,87,,,,ds30_d16_sf6,130.20833333333334,16,0.1797195033482107,0.1797195033482107,0.18684406573113385,0.18684406573113385,,,,30.0,6,2,,alg3_port_dmrs,,48,576,,1.9905358527674861,equal_total_overhead,,96,48,,,-6.0,,1.0,2
Alg3 Port-DMRS RMMSE equal-per-port,,311,87,,,,ds30_d16_sf6,130.20833333333334,16,0.10428359375400797,0.10428359375400797,0.09983114985437966,0.09983114985437966,,,,30.0,6,2,,alg3_port_dmrs,,48,576,,1.9905358527674861,equal_per_port_density,,96,96,,,-6.0,,2.0,2
Alg1 Direct RMMSE WB 576sc,,311,87,,,,ds30_d16_sf6,130.20833333333334,16,nan,nan,0.07367998462681702,0.07367998462681702,,,CDD-shifted PDP,30.0,6,2,,alg1_direct_rmmse,,48,576,,1.25594321575479,,96,96,,48.0,576,-4.0,,,2
Alg2 Basis LMMSE E90,0.9,311,87,,,,ds30_d16_sf6,130.20833333333334,16,0.13193847966175432,0.13193847966175432,0.08357442252181825,0.08357442252181825,,6002204092074.051,,30.0,6,2,4.257352577093582,alg2_basis_reduced_support,,48,576,18,1.25594321575479,,96,96,,,,-4.0,9,,2
Alg2 Basis LMMSE E95,0.95,311,87,,,,ds30_d16_sf6,130.20833333333334,16,0.11559065812854205,0.11559065812854205,0.07593678434809617,0.07593678434809617,,6004712903261.365,,30.0,6,2,4.656313421061663,alg2_basis_reduced_support,,48,576,24,1.25594321575479,,96,96,,,,-4.0,12,,2
Alg2 Basis LMMSE E99,0.99,311,87,,,,ds30_d16_sf6,130.20833333333334,16,0.11137101428560929,0.11137101428560929,0.07402181988985529,0.07402181988985529,,6020979474557.117,,30.0,6,2,4.980125406923935,alg2_basis_reduced_support,,48,576,34,1.25594321575479,,96,96,,,,-4.0,17,,2
Alg2 CoherenceBlock Bc0.9,,311,87,0.9,2.61,87,ds30_d16_sf6,130.20833333333334,16,0.45925029219543484,0.45925029219543484,0.15008030986997908,0.15008030986997908,3.4857149864592136,5.221511189288461,,30.0,6,2,,alg2_coherence_block,7,48,576,,1.25594321575479,,,96,,,,-4.0,,,2
Alg3 Port-DMRS RMMSE equal-total,,311,87,,,,ds30_d16_sf6,130.20833333333334,16,0.10499929649030758,0.10499929649030758,0.10952203760035857,0.10952203760035857,,,,30.0,6,2,,alg3_port_dmrs,,48,576,,1.25594321575479,equal_total_overhead,,96,48,,,-4.0,,1.0,2
Alg3 Port-DMRS RMMSE equal-per-port,,311,87,,,,ds30_d16_sf6,130.20833333333334,16,0.06333366514506468,0.06333366514506468,0.06639189603236795,0.06639189603236795,,,,30.0,6,2,,alg3_port_dmrs,,48,576,,1.25594321575479,equal_per_port_density,,96,96,,,-4.0,,2.0,2
Alg1 Direct RMMSE WB 576sc,,311,87,,,,ds30_d32_sf6,260.4166666666667,32,nan,nan,0.1340996097820969,0.1340996097820969,,,CDD-shifted PDP,30.0,6,2,,alg1_direct_rmmse,,48,576,,1.9905358527674861,,96,96,,48.0,576,-6.0,,,2
Alg2 Basis LMMSE E90,0.9,311,87,,,,ds30_d32_sf6,260.4166666666667,32,0.1527837162467816,0.1527837162467816,0.15254107348877602,0.15254107348877602,,16543646540.404442,,30.0,6,2,4.449887610507725,alg2_basis_reduced_support,,48,576,18,1.9905358527674861,,96,96,,,,-6.0,9,,2
Alg2 Basis LMMSE E95,0.95,311,87,,,,ds30_d32_sf6,260.4166666666667,32,0.13998184646842327,0.13998184646842327,0.1400069013223746,0.1400069013223746,,5970689187408.663,,30.0,6,2,5.000630523128774,alg2_basis_reduced_support,,48,576,24,1.9905358527674861,,96,96,,,,-6.0,12,,2
Alg2 Basis LMMSE E99,0.99,311,87,,,,ds30_d32_sf6,260.4166666666667,32,0.13534592201986986,0.13534592201986986,0.13466170429407162,0.13466170429407162,,5972582325109.997,,30.0,6,2,5.601128675217133,alg2_basis_reduced_support,,48,576,34,1.9905358527674861,,96,96,,,,-6.0,17,,2
Alg2 CoherenceBlock Bc0.9,,311,87,0.9,2.61,87,ds30_d32_sf6,260.4166666666667,32,0.27404200625511443,0.27404200625511443,0.21124664864045578,0.21124664864045578,1.6717374969812766,2.556256865553344,,30.0,6,2,,alg2_coherence_block,7,48,576,,1.9905358527674861,,,96,,,,-6.0,,,2
Alg3 Port-DMRS RMMSE equal-total,,311,87,,,,ds30_d32_sf6,260.4166666666667,32,0.11469084071704892,0.11469084071704892,0.11464386417598499,0.11464386417598499,,,,30.0,6,2,,alg3_port_dmrs,,48,576,,1.9905358527674861,equal_total_overhead,,96,48,,,-6.0,,1.0,2
Alg3 Port-DMRS RMMSE equal-per-port,,311,87,,,,ds30_d32_sf6,260.4166666666667,32,0.06371464979155365,0.06371464979155365,0.06296640356041781,0.06296640356041781,,,,30.0,6,2,,alg3_port_dmrs,,48,576,,1.9905358527674861,equal_per_port_density,,96,96,,,-6.0,,2.0,2
Alg1 Direct RMMSE WB 576sc,,311,87,,,,ds30_d32_sf6,260.4166666666667,32,nan,nan,0.06481967995431098,0.06481967995431098,,,CDD-shifted PDP,30.0,6,2,,alg1_direct_rmmse,,48,576,,1.25594321575479,,96,96,,48.0,576,-4.0,,,2
