algorithm,basis_energy_threshold,bc_g_0p5_sc,bc_g_0p9_sc,bc_h_0p5_sc,bc_h_0p9_sc,bc_threshold,block_width_mhz,block_width_sc,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,covariance,delay_spread_ns,dmrs_overhead_alg1,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,gain_vs_alg1_db,n_blocks,n_prbs,n_sc,n_unknown_taps,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_dmrs_re_alg1,total_pilot_re_relative,trials
Alg1 Direct RMMSE WB 576sc,,11,5,,267,,,,1041.6666666666667,128,nan,nan,0.01743212853979605,0.01660680202542019,,,CDD-shifted PDP,10.0,0.05,4,2,,alg1_direct_rmmse,0.0,,48,576,,,144,144,,48.0,576,0.0,,288,,30
Alg2 Basis LMMSE E50,0.5,11,5,,267,,,,1041.6666666666667,128,0.12048211155681168,0.11000659586674298,0.12022306133444957,0.10917635379167018,,1.0000000000000004,,10.0,0.05,4,2,2.0000000000000004,alg2_basis_reduced_support,-8.38637362935737,,48,576,2,,144,144,,,,0.0,1,288,,30
Alg2 Basis LMMSE E70,0.7,11,5,,267,,,,1041.6666666666667,128,0.034036780928259645,0.030386299165716345,0.03388987274969568,0.030078330411854773,,8.504742385864091,,10.0,0.05,4,2,2.4643198674730127,alg2_basis_reduced_support,-2.8871951852377147,,48,576,4,,144,144,,,,0.0,2,288,,30
Alg2 Basis LMMSE E90,0.9,11,5,,267,,,,1041.6666666666667,128,0.023449921528094258,0.022131776038493478,0.023350692923417737,0.022035824285094156,,84.44447480561495,,10.0,0.05,4,2,2.7410670879217025,alg2_basis_reduced_support,-1.2694935300604029,,48,576,6,,144,144,,,,0.0,3,288,,30
Alg2 Basis LMMSE E95,0.95,11,5,,267,,,,1041.6666666666667,128,0.020295060109561884,0.019551940014594135,0.020226052883280315,0.019393404439235692,,881.7086965599879,,10.0,0.05,4,2,2.943530108729421,alg2_basis_reduced_support,-0.6456071879772927,,48,576,8,,144,144,,,,0.0,4,288,,30
Alg2 Basis LMMSE E99,0.99,11,5,,267,,,,1041.6666666666667,128,0.018017948636211676,0.017365591128602906,0.017981027856256302,0.017246652523246454,,104748.48256075171,,10.0,0.05,4,2,3.192239397219526,alg2_basis_reduced_support,-0.13464094225635448,,48,576,12,,144,144,,,,0.0,6,288,,30
Alg2 CoherenceBlock Bc0.9,,11,5,,267,0.9,8.01,267,1041.6666666666667,128,0.05270394313893055,0.05216970931809552,0.05238377437087307,0.0514613712412889,1.0929823138392432,1.2055343892935677,,10.0,0.05,4,2,,alg2_coherence_block,-4.778463675083789,3,48,576,,,,144,,,,0.0,,288,,30
Alg3 Port-DMRS RMMSE equal-total,,11,5,,267,,,,1041.6666666666667,128,0.016971416879474042,0.015064163435473286,0.016978623346217137,0.015085540399775468,,,,10.0,0.05,4,2,,alg3_port_dmrs,0.11447945571770463,,48,576,,equal_total_overhead,,144,72,,,0.0,,288,1.0,30
Alg1 Direct RMMSE WB 576sc,,11,5,,267,,,,1041.6666666666667,128,nan,nan,0.021919658395474047,0.022681301038541418,,,CDD-shifted PDP,10.0,0.03333333333333333,6,2,,alg1_direct_rmmse,0.0,,48,576,,,96,96,,48.0,576,0.0,,192,,30
Alg2 Basis LMMSE E50,0.5,11,5,,267,,,,1041.6666666666667,128,0.10905839066268978,0.10747427871349684,0.10899635166032949,0.107351224342629,,1.0000000000000004,,10.0,0.03333333333333333,6,2,1.9999999999999996,alg2_basis_reduced_support,-6.965781797739947,,48,576,2,,96,96,,,,0.0,1,192,,30
Alg2 Basis LMMSE E70,0.7,11,5,,267,,,,1041.6666666666667,128,0.03963115048493054,0.038767819795432465,0.03962600068722826,0.0389411839120429,,8.50497576474664,,10.0,0.03333333333333333,6,2,2.464291509477896,alg2_basis_reduced_support,-2.571464610824532,,48,576,4,,96,96,,,,0.0,2,192,,30
Alg2 Basis LMMSE E90,0.9,11,5,,267,,,,1041.6666666666667,128,0.02753150821402045,0.027337153193983672,0.027535446622356262,0.027292263170413677,,84.45619975357157,,10.0,0.03333333333333333,6,2,2.741011431175704,alg2_basis_reduced_support,-0.9905834344003267,,48,576,6,,96,96,,,,0.0,3,192,,30
Alg2 Basis LMMSE E95,0.95,11,5,,267,,,,1041.6666666666667,128,0.0242992466156239,0.024012655713548884,0.02431053507215951,0.02425806518228899,,882.0628134033841,,10.0,0.03333333333333333,6,2,2.9434509003067895,alg2_basis_reduced_support,-0.4496073607145604,,48,576,8,,96,96,,,,0.0,4,192,,30
Alg2 Basis LMMSE E99,0.99,11,5,,267,,,,1041.6666666666667,128,0.022289549008624454,0.022906728888509413,0.02231235250301631,0.023141315920710198,,104948.45750043307,,10.0,0.03333333333333333,6,2,3.1921230718800406,alg2_basis_reduced_support,-0.07711580889090028,,48,576,12,,96,96,,,,0.0,6,192,,30
Alg2 CoherenceBlock Bc0.9,,11,5,,267,0.9,8.01,267,1041.6666666666667,128,0.0543685543165157,0.05241771034021648,0.053952598072246546,0.052220457321858246,1.1039732027004823,1.2425315398830135,,10.0,0.03333333333333333,6,2,,alg2_coherence_block,-3.9117858120152516,3,48,576,,,,96,,,,0.0,,192,,30
Alg3 Port-DMRS RMMSE equal-total,,11,5,,267,,,,1041.6666666666667,128,0.02251662646086227,0.019951787051828603,0.022520058327998395,0.01968481797808714,,,,10.0,0.03333333333333333,6,2,,alg3_port_dmrs,-0.11735729373594597,,48,576,,equal_total_overhead,,96,48,,,0.0,,192,1.0,30
Alg1 Direct RMMSE WB 576sc,,11,5,,267,,,,1041.6666666666667,128,nan,nan,0.044575159594583344,0.039212913818447576,,,CDD-shifted PDP,10.0,0.016666666666666666,12,2,,alg1_direct_rmmse,0.0,,48,576,,,48,48,,48.0,576,0.0,,96,,30
Alg2 Basis LMMSE E50,0.5,11,5,,267,,,,1041.6666666666667,128,0.1270846743147523,0.12392166159242163,0.12726227093910936,0.12335090826098444,,1.0000000000000002,,10.0,0.016666666666666666,12,2,1.9999999999999998,alg2_basis_reduced_support,-4.556067619873281,,48,576,2,,48,48,,,,0.0,1,96,,30
Alg2 Basis LMMSE E70,0.7,11,5,,267,,,,1041.6666666666667,128,0.07052903597601998,0.06152889616061291,0.07064886966965513,0.061990114345673475,,8.505861591776979,,10.0,0.016666666666666666,12,2,2.4641136533911423,alg2_basis_reduced_support,-2.000123110699085,,48,576,4,,48,48,,,,0.0,2,96,,30
Alg2 Basis LMMSE E90,0.9,11,5,,267,,,,1041.6666666666667,128,0.052351567141083015,0.047531988211865515,0.052431021298928404,0.04775425295042687,,84.50074805191008,,10.0,0.016666666666666666,12,2,2.7406623372550896,alg2_basis_reduced_support,-0.7049541060189377,,48,576,6,,48,48,,,,0.0,3,96,,30
Alg2 Basis LMMSE E95,0.95,11,5,,267,,,,1041.6666666666667,128,0.04737265182560455,0.039937061717309326,0.04743608217791015,0.04010482978901808,,883.4112167278812,,10.0,0.016666666666666666,12,2,2.9429540592891197,alg2_basis_reduced_support,-0.27015905984170396,,48,576,8,,48,48,,,,0.0,4,96,,30
Alg2 Basis LMMSE E99,0.99,11,5,,267,,,,1041.6666666666667,128,0.04497654671770177,0.03896775374006997,0.04503447292347555,0.03909689454410259,,105719.13552968942,,10.0,0.016666666666666666,12,2,3.1913933381829835,alg2_basis_reduced_support,-0.04452177418341304,,48,576,12,,48,48,,,,0.0,6,96,,30
Alg2 CoherenceBlock Bc0.9,,11,5,,267,0.9,8.01,267,1041.6666666666667,128,0.09201931783961116,0.08470701188603019,0.09194480164677658,0.08364605736811584,1.0763196008208185,1.149076690659522,,10.0,0.016666666666666666,12,2,,alg2_coherence_block,-3.14434273454997,3,48,576,,,,48,,,,0.0,,96,,30
Alg3 Port-DMRS RMMSE equal-total,,11,5,,267,,,,1041.6666666666667,128,0.048551211692203236,0.044845446805319045,0.04857683714588075,0.04474190934172874,,,,10.0,0.016666666666666666,12,2,,alg3_port_dmrs,-0.3733632755506064,,48,576,,equal_total_overhead,,48,24,,,0.0,,96,1.0,30
Alg1 Direct RMMSE WB 576sc,,11,5,,267,,,,1041.6666666666667,128,nan,nan,0.07814353954492098,0.0753422883621061,,,CDD-shifted PDP,10.0,0.008333333333333333,24,2,,alg1_direct_rmmse,0.0,,48,576,,,24,24,,48.0,576,0.0,,48,,30
Alg2 Basis LMMSE E50,0.5,11,5,,267,,,,1041.6666666666667,128,0.14102481034652523,0.13675957284618923,0.14116523448976476,0.13569136858187403,,1.0000000000000004,,10.0,0.008333333333333333,24,2,2.0,alg2_basis_reduced_support,-2.5683467499294057,,48,576,2,,24,24,,,,0.0,1,48,,30
